Date,Price
Day1,105
Day2,104
Day3,104
Day4,103
Day5,99
Day6,103
Day7,106
Day8,111
Day9,108
Day10,112
Day11,110
Day12,113
Day13,115
Day14,114
Day15,113
Day16,112
Day17,109
Day18,110
Day19,112
Day20,115
Day21,118
Day22,113
Day23,116
Day24,121
Day25,121
Day26,116
Day27,111
Day28,114
Day29,111
Day30,114
Day31,118
Day32,113
Day33,110
Day34,115
Day35,118
Day36,119
Day37,114
Day38,119
Day39,119
Day40,122
Day41,119
Day42,117
Day43,120
Day44,115
Day45,120
Day46,121
Day47,117
Day48,122
Day49,127
Day50,129
Day51,133
Day52,130
Day53,133
Day54,138
Day55,142
Day56,139
Day57,140
Day58,144
Day59,139
Day60,143
Day61,141
Day62,138
Day63,141
Day64,143
Day65,143
Day66,148
Day67,153
Day68,154
Day69,153
Day70,156
Day71,155
Day72,150
Day73,149
Day74,151
Day75,146
Day76,149
Day77,150
Day78,149
Day79,144
Day80,147
Day81,150
Day82,146
Day83,142
Day84,145
Day85,147
Day86,144
Day87,147
Day88,142
Day89,142
Day90,142
Day91,147
Day92,144
Day93,142
Day94,142
Day95,147
Day96,146
Day97,147
Day98,149
Day99,144
Day100,147
Day101,146
Day102,148
Day103,149
Day104,145
Day105,140
Day106,136
Day107,138
Day108,143
Day109,139
Day110,142
Day111,143
Day112,139
Day113,139
Day114,143
Day115,142
Day116,139
Day117,142
Day118,147
Day119,145
Day120,143
Day121,142
Day122,139
Day123,140
Day124,138
Day125,140
Day126,135
Day127,140
Day128,136
Day129,141
Day130,142
Day131,138
Day132,134
Day133,137
Day134,140
Day135,137
Day136,140
Day137,144
Day138,147
Day139,142
Day140,144
Day141,144
Day142,146
Day143,147
Day144,142
Day145,143
Day146,143
Day147,145
Day148,146
Day149,141
Day150,143
Day151,140
Day152,137
Day153,133
Day154,128
Day155,126
Day156,122
Day157,126
Day158,125
Day159,125
Day160,121
Day161,123
Day162,125
Day163,130
Day164,129
Day165,128
Day166,123
Day167,126
Day168,123
Day169,121
Day170,120
Day171,124
Day172,119
Day173,114
Day174,113
Day175,115
Day176,110
Day177,105
Day178,106
Day179,107
Day180,111
Day181,106
Day182,111
Day183,114
Day184,116
Day185,115
Day186,115
Day187,116
Day188,113
Day189,111
Day190,112
Day191,107
Day192,109
Day193,105
Day194,106
Day195,110
Day196,109
Day197,109
Day198,111
Day199,108
Day200,106
